ticker,sector,industry
ABBV,Healthcare,Drug Manufacturers - General
ABNB,Consumer Cyclical,Travel Services
ABT,Healthcare,Medical Devices
ACGL,Financial Services,Insurance - Diversified
ADBE,Technology,Software - Application
ADI,Technology,Semiconductors
AEE,Utilities,Utilities - Regulated Electric
AFL,Financial Services,Insurance - Life
ALC,Healthcare,Medical Instruments & Supplies
ALL,Financial Services,Insurance - Property & Casualty
AMAT,Technology,Semiconductor Equipment & Materials
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers - General
AMP,Financial Services,Asset Management
AMT,Real Estate,REIT - Specialty
ANET,Technology,Computer Hardware
AON,Financial Services,Insurance Brokers
APD,Basic Materials,Specialty Chemicals
APH,Technology,Electronic Components
APO,Financial Services,Asset Management
APP,Communication Services,Advertising Agencies
ARM,Technology,Semiconductors
AS,Consumer Cyclical,Leisure
ASML,Technology,Semiconductor Equipment & Materials
AWK,Utilities,Utilities - Regulated Water
AXP,Financial Services,Credit Services
AZN,Healthcare,Drug Manufacturers - General
AZO,Consumer Cyclical,Auto Parts
BA,Industrials,Aerospace & Defense
BABA,Consumer Cyclical,Internet Retail
BAC,Financial Services,Banks - Diversified
BKNG,Consumer Cyclical,Travel Services
BLK,Financial Services,Asset Management
BMO,Financial Services,Banks - Diversified
BMY,Healthcare,Drug Manufacturers - General
BNS,Financial Services,Banks - Diversified
BRO,Financial Services,Insurance Brokers
BSX,Healthcare,Medical Devices
BUD,Consumer Defensive,Beverages - Brewers
BX,Financial Services,Asset Management
C,Financial Services,Banks - Diversified
CAH,Healthcare,Medical Distribution
CARR,Industrials,Building Products & Equipment
CAT,Industrials,Farm & Heavy Construction Machinery
CBRE,Real Estate,Real Estate Services
CCEP,Consumer Defensive,Beverages - Non-Alcoholic
CCJ,Energy,Uranium
CCZ,Unknown,Unknown
CEG,Utilities,Utilities - Renewable
CHT,Communication Services,Telecom Services
CI,Healthcare,Healthcare Plans
CL,Consumer Defensive,Household & Personal Products
CMCSA,Communication Services,Telecom Services
CME,Financial Services,Financial Data & Stock Exchanges
CMG,Consumer Cyclical,Restaurants
CMI,Industrials,Specialty Industrial Machinery
CMS,Utilities,Utilities - Regulated Electric
CNC,Healthcare,Healthcare Plans
COF,Financial Services,Credit Services
COR,Healthcare,Medical Distribution
CPNG,Consumer Cyclical,Internet Retail
CRH,Basic Materials,Building Materials
CRM,Technology,Software - Application
CRWD,Technology,Software - Infrastructure
CRWV,Technology,Software - Infrastructure
CSX,Industrials,Railroads
CTVA,Basic Materials,Agricultural Inputs
CUK,Consumer Cyclical,Travel Services
CVX,Energy,Oil & Gas Integrated
DAL,Industrials,Airlines
DB,Financial Services,Banks - Regional
DD,Basic Materials,Specialty Chemicals
DDOG,Technology,Software - Application
DE,Industrials,Farm & Heavy Construction Machinery
DHR,Healthcare,Diagnostics & Research
DLR,Real Estate,REIT - Specialty
DLTR,Consumer Defensive,Discount Stores
DRI,Consumer Cyclical,Restaurants
DTE,Utilities,Utilities - Regulated Electric
DUK,Utilities,Utilities - Regulated Electric
DXCM,Healthcare,Medical Devices
E,Energy,Oil & Gas Integrated
EA,Communication Services,Electronic Gaming & Multimedia
EBAY,Consumer Cyclical,Internet Retail
EFX,Industrials,Consulting Services
EL,Consumer Defensive,Household & Personal Products
EMR,Industrials,Specialty Industrial Machinery
ENB,Energy,Oil & Gas Midstream
EOG,Energy,Oil & Gas E&P
EQIX,Real Estate,REIT - Specialty
ET,Energy,Oil & Gas Midstream
ETN,Industrials,Specialty Industrial Machinery
ETR,Utilities,Utilities - Regulated Electric
EW,Healthcare,Medical Devices
EXR,Real Estate,REIT - Industrial
F,Consumer Cyclical,Auto Manufacturers
FANG,Energy,Oil & Gas E&P
FE,Utilities,Utilities - Regulated Electric
FI,Technology,Information Technology Services
FITB,Financial Services,Banks - Regional
FLUT,Consumer Cyclical,Gambling
FNV,Basic Materials,Gold
FTNT,Technology,Software - Infrastructure
GE,Industrials,Aerospace & Defense
